x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"2652,89","2128,55","294,455","46,257","1,15749","0,3233","-0,83419","0,9403190947758984","10,3521","10,654","0,883441","0,885116","2652,89","535,4499999999998",P01,P01_V + P01_B,"12,71788149609375","0,8196062713623049"
"2435,24","1749,63","294,373","46,2956","1,16711","0,128237","-1,0388730000000002","1,0182828683624352","10,8571","11,3871","0,939231","0,911215","2435,24","914,3699999999999",P01,P01_V + P01_B,"12,727501496093751","0,6149232713623047"
"731,777","1487,72","294,345","46,564","1,16936","0,278938","-0,8904219999999999","0,9673386170313218","11,3078","11,6385","0,87065","0,882503","731,777","1176,28",P01,P01_V + P01_B,"12,72975149609375","0,763374271362305"
"349,477","175,671","294,054","46,6392","1,17593","1,01823","-0,1576999999999999","0,93547955616358","10,2046","10,4985","0,977048","0,999999","349,477","2488,329",P01,P01_V + P01_B,"12,73632149609375","1,496096271362305"
"1777,17","1845,45","294,407","46,3969","1,20917","0,62316","-0,58601","0,918095855561919","11,601","12,0296","0,940704","0,929597","1777,17","818,55",P01,P01_V + P01_B,"12,76956149609375","1,067786271362305"
"1723,66","1640,9","294,361","46,4077","1,2113","0,702288","-0,509012","0,6428841264177312","14,6208","15,0286","0,784153","0,766393","1723,66","1023,0999999999999",P01,P01_V + P01_B,"12,77169149609375","1,1447842713623049"
"2749,42","2400,91","294,514","46,2386","1,23053","0,315114","-0,915416","1,0285912696499846","9,71179","10,8039","0,919028","0,865652","2749,42","263,09000000000015",P01,P01_V + P01_B,"12,79092149609375","0,7383802713623049"
"848,586","1004,2","294,233","46,5517","1,23909","0,287718","-0,951372","1,0039043779165768","10,9929","11,9627","0,90313","0,844172","848,586","1659,8",P01,P01_V + P01_B,"12,799481496093751","0,7024242713623049"
"1837,33","486,56","294,099","46,4039","1,25052","0,436086","-0,8144340000000001","1,152401405761065","10,8505","11,6155","0,949458","0,905676","1837,33","2177,44",P01,P01_V + P01_B,"12,81091149609375","0,8393622713623048"
"1583,56","1675,46","294,372","46,4291","1,27885","0,298494","-0,980356","0,9774456506630662","11,6007","12,2603","0,988694","0,918126","1583,56","988,54",P01,P01_V + P01_B,"12,83924149609375","0,6734402713623049"
"614,341","528,868","294,129","46,5938","1,27931","0,890948","-0,388362","1,0099158380776887","10,5021","11,1239","0,87116","0,861117","614,341","2135,132",P01,P01_V + P01_B,"12,83970149609375","1,265434271362305"
"1309,38","1845,61","294,415","46,4697","1,31073","0,42201","-0,88872","0,9269843580123822","13,6319","12,9679","0,784703","0,890313","1309,38","818,3900000000001",P01,P01_V + P01_B,"12,87112149609375","0,7650762713623049"
"431,388","2478,58","294,574","46,5984","1,33483","0,627274","-0,707556","0,9102466698649267","11,3131","11,5764","0,887771","0,85351","431,388","185,42000000000007",P01,P01_V + P01_B,"12,89522149609375","0,9462402713623049"
"3387,25","1920,14","294,395","46,1453","1,35539","1,00398","-0,35141","1,100590750460783","9,42423","10,3489","0,999646","0,919257","3387,25","743,8599999999999",P01,P01_V + P01_B,"12,91578149609375","1,302386271362305"
